#TaxCalculationService20200301,CalculateTax,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
#TaxCalculationRequest.INDATA.INVOICE.ATTRIBUTE1,TaxCalculationRequest.INDATA.INVOICE.CALCULATIONDIRECTION,TaxCalculationRequest.INDATA.INVOICE.EXTERNALCOMPANYID,TaxCalculationRequest.INDATA.INVOICE.COMPANYROLE,TaxCalculationRequest.INDATA.INVOICE.CURRENCYCODE,TaxCalculationRequest.INDATA.INVOICE.INVOICEDATE,TaxCalculationRequest.INDATA.INVOICE.SHIPTO.COUNTRY,TaxCalculationRequest.INDATA.INVOICE.SHIPTO.STATE,TaxCalculationRequest.INDATA.INVOICE.SHIPTO.PROVINCE,TaxCalculationRequest.INDATA.INVOICE.SHIPTO.CITY,TaxCalculationRequest.INDATA.INVOICE.SHIPTO.COUNTY,TaxCalculationRequest.INDATA.INVOICE.SHIPTO.POSTCODE,TaxCalculationRequest.INDATA.INVOICE.SHIPTO.GEOCODE,TaxCalculationRequest.INDATA.INVOICE.SHIPFROM.COUNTRY,TaxCalculationRequest.INDATA.INVOICE.SHIPFROM.STATE,TaxCalculationRequest.INDATA.INVOICE.SHIPFROM.PROVINCE,TaxCalculationRequest.INDATA.INVOICE.SHIPFROM.CITY,TaxCalculationRequest.INDATA.INVOICE.SHIPFROM.COUNTY,TaxCalculationRequest.INDATA.INVOICE.SHIPFROM.POSTCODE,TaxCalculationRequest.INDATA.INVOICE.SHIPFROM.GEOCODE,TaxCalculationRequest.INDATA.Version,TaxCalculationRequest.INDATA.INVOICE.LINE.LINENUMBER,TaxCalculationRequest.INDATA.INVOICE.LINE.GROSSAMOUNT,TaxCalculationRequest.INDATA.INVOICE.LINE.QUANTITY,TaxCalculationRequest.INDATA.INVOICE.INVOICENUMBER,TaxCalculationRequest.INDATA.INVOICE.TRANSACTIONTYPE,TaxCalculationRequest.INDATA.INVOICE.LINE.ID,TaxCalculationRequest.INDATA.INVOICE.LINE.PRODUCTCODE,TaxCalculationRequest.INDATA.INVOICE.LINE.COMMODITYCODE,TaxCalculationRequest.INDATA.INVOICE.ISCREDIT,TaxCalculationRequest.INDATA.INVOICE.LINE.ISCREDIT,TaxCalculationRequest.INDATA.INVOICE.ORIGINALINVOICEDATE,TaxCalculationRequest.INDATA.INVOICE.LINE.ORIGINALINVOICEDATE,TaxCalculationRequest.INDATA.INVOICE.ISAUDITED,TaxCalculationRequest.INDATA.INVOICE.BUSINESSLOCATION,TaxCalculationRequest.INDATA.INVOICE.LINE.BUSINESSLOCATION,TaxCalculationRequest.INDATA.INVOICE.FILTERGROUPNAME,TaxCalculationRequest.INDATA.INVOICE.FILTERGROUPOWNER
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,FAIRHOPE,BALDWIN,36526,4103,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,2600,1,24-11-2025TC001-AL-22233,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,FOLEY,BALDWIN,36530,6502,US,AL,,FOLEY,BALDWIN,36530,6502,,1,2900,1,24-11-2025TC001-AL-22234,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,FOLEY,BALDWIN,36535,3404,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,3000,1,24-11-2025TC001-AL-22235,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,FOLEY,BALDWIN,36535,1704,US,AL,,FOLEY,BALDWIN,36535,1704,,1,3200,1,24-11-2025TC001-AL-22236,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,GULF SHORES,BALDWIN,36542,1,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,3500,1,24-11-2025TC001-AL-22237,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,LOXLEY,BALDWIN,36527,5701,US,AL,,LOXLEY,BALDWIN,36527,5701,,1,3900,1,24-11-2025TC001-AL-22238,SI,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,MAGNOLIA SPRINGS,BALDWIN,36535,4210,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,4100,1,24-11-2025TC001-AL-22239,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,ORANGE BEACH,BALDWIN,36530,5738,US,AL,,ORANGE BEACH,BALDWIN,36530,5738,,1,4300,1,24-11-2025TC001-AL-22240,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,PERDIDO BEACH,BALDWIN,36530,6001,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,2400,1,24-11-2025TC001-AL-22241,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,ROBERTSDALE,BALDWIN,36567,2579,US,AL,,ROBERTSDALE,BALDWIN,36567,2579,,1,4600,1,24-11-2025TC001-AL-22242,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,SILVERHILL,BALDWIN,36576,20,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,5600,1,24-11-2025TC001-AL-22243,SI,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,SPANISH FORT,BALDWIN,36507,5545,US,AL,,SPANISH FORT,BALDWIN,36507,5545,,1,6000,1,24-11-2025TC001-AL-22244,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,SPANISH FORT,BALDWIN,36527,5800,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6001,1,24-11-2025TC001-AL-22245,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,SUMMERDALE,BALDWIN,36535,2927,US,AL,,SUMMERDALE,BALDWIN,36535,2927,,1,6002,1,24-11-2025TC001-AL-22246,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,BALDWIN,36480,5077,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6003,1,24-11-2025TC001-AL-22247,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,UNINCORPORATED,BALDWIN,36507,2000,US,AL,,UNINCORPORATED,BALDWIN,36507,2000,,1,6004,1,24-11-2025TC001-AL-22248,SI,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,BALDWIN,36526,3901,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6005,1,24-11-2025TC001-AL-22249,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,BALDWIN,36507,7808,US,AL,,UNINCORPORATED,BALDWIN,36507,7808,,1,6006,1,24-11-2025TC001-AL-22250,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,UNINCORPORATED,BALDWIN,36527,5678,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6007,1,24-11-2025TC001-AL-22251,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,BALDWIN,36507,2200,US,AL,,UNINCORPORATED,BALDWIN,36507,2200,,1,6008,1,24-11-2025TC001-AL-22252,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,BALDWIN,36511,20,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6009,1,24-11-2025TC001-AL-22253,SI,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,BALDWIN,36511,3104,US,AL,,UNINCORPORATED,BALDWIN,36511,3104,,1,6010,1,24-11-2025TC001-AL-22254,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,UNINCORPORATED,BALDWIN,36551,7000,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6011,1,24-11-2025TC001-AL-22255,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,BALDWIN,36535,3008,US,AL,,UNINCORPORATED,BALDWIN,36535,3008,,1,6012,1,24-11-2025TC001-AL-22256,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,UNINCORPORATED,BALDWIN,36530,2400,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6013,1,24-11-2025TC001-AL-22257,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,BALDWIN,36551,4900,US,AL,,UNINCORPORATED,BALDWIN,36551,4900,,1,6014,1,24-11-2025TC001-AL-22258,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,UNINCORPORATED,BALDWIN,36530,5500,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6015,1,24-11-2025TC001-AL-22259,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,BALDWIN,36535,3600,US,AL,,UNINCORPORATED,BALDWIN,36535,3600,,1,6016,1,24-11-2025TC001-AL-22260,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,UNINCORPORATED,BALDWIN,36530,4507,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6017,1,24-11-2025TC001-AL-22261,SI,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,BAKER HILL,BARBOUR,36027,3904,US,AL,,BAKER HILL,BARBOUR,36027,3904,,1,6018,1,24-11-2025TC001-AL-22262,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,BLUE SPRINGS,BARBOUR,36017,3501,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6019,1,24-11-2025TC001-AL-22263,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,CLAYTON,BARBOUR,36016,18,US,AL,,CLAYTON,BARBOUR,36016,18,,1,6020,1,24-11-2025TC001-AL-22264,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,CLIO,BARBOUR,36017,6,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6021,1,24-11-2025TC001-AL-22265,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,EUFAULA,BARBOUR,36016,2500,US,AL,,EUFAULA,BARBOUR,36016,2500,,1,6022,1,24-11-2025TC001-AL-22266,SI,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,LOUISVILLE,BARBOUR,36048,16,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6023,1,24-11-2025TC001-AL-22267,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,BARBOUR,36016,2012,US,AL,,UNINCORPORATED,BARBOUR,36016,2012,,1,6024,1,24-11-2025TC001-AL-22268,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,UNINCORPORATED,BARBOUR,36016,4416,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6025,1,24-11-2025TC001-AL-22269,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,BARBOUR,36017,2611,US,AL,,UNINCORPORATED,BARBOUR,36017,2611,,1,6026,1,24-11-2025TC001-AL-22270,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,UNINCORPORATED,BARBOUR,36311,6339,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6027,1,24-11-2025TC001-AL-22271,SI,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,BARBOUR,36016,3000,US,AL,,UNINCORPORATED,BARBOUR,36016,3000,,1,6028,1,24-11-2025TC001-AL-22272,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,BARBOUR,36016,3900,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6029,1,24-11-2025TC001-AL-22273,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,BRENT,BIBB,35034,20,US,AL,,BRENT,BIBB,35034,20,,1,6030,1,24-11-2025TC001-AL-22274,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,CENTREVILLE,BIBB,35042,16,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6031,1,24-11-2025TC001-AL-22275,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,BIBB,35034,2008,US,AL,,UNINCORPORATED,BIBB,35034,2008,,1,6032,1,24-11-2025TC001-AL-22276,SI,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,BIBB,35074,20,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6033,1,24-11-2025TC001-AL-22277,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,UNINCORPORATED,BIBB,35042,2207,US,AL,,UNINCORPORATED,BIBB,35042,2207,,1,6034,1,24-11-2025TC001-AL-22278,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,BIBB,35184,2206,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6035,1,24-11-2025TC001-AL-22279,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,UNINCORPORATED,BIBB,35042,3500,US,AL,,UNINCORPORATED,BIBB,35042,3500,,1,6036,1,24-11-2025TC001-AL-22280,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,VANCE,BIBB,35184,3125,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6037,1,24-11-2025TC001-AL-22281,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,WEST BLOCTON,BIBB,35184,20,US,AL,,WEST BLOCTON,BIBB,35184,20,,1,6038,1,24-11-2025TC001-AL-22282,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,WOODSTOCK,BIBB,35188,1102,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6039,1,24-11-2025TC001-AL-22283,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,ALLGOOD,BLOUNT,35013,30,US,AL,,ALLGOOD,BLOUNT,35013,30,,1,6040,1,24-11-2025TC001-AL-22284,SI,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,ALTOONA,BLOUNT,35952,6819,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6041,1,24-11-2025TC001-AL-22285,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,BLOUNTSVILLE,BLOUNT,35031,14,US,AL,,BLOUNTSVILLE,BLOUNT,35031,14,,1,6042,1,24-11-2025TC001-AL-22286,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,CLEVELAND,BLOUNT,35049,20,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6043,1,24-11-2025TC001-AL-22287,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,COUNTY LINE,BLOUNT,35172,2300,US,AL,,COUNTY LINE,BLOUNT,35172,2300,,1,6044,1,24-11-2025TC001-AL-22288,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,HAYDEN,BLOUNT,35063,6210,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6045,1,24-11-2025TC001-AL-22289,SI,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,HIGHLAND LAKE,BLOUNT,35121,8311,US,AL,,HIGHLAND LAKE,BLOUNT,35121,8311,,1,6046,1,24-11-2025TC001-AL-22290,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,LOCUST FORK,BLOUNT,35049,4300,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6047,1,24-11-2025TC001-AL-22291,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,NECTAR,BLOUNT,35049,4400,US,AL,,NECTAR,BLOUNT,35049,4400,,1,6048,1,24-11-2025TC001-AL-22292,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,ONEONTA,BLOUNT,35121,1,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6049,1,24-11-2025TC001-AL-22293,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,ROSA,BLOUNT,35121,4103,US,AL,,ROSA,BLOUNT,35121,4103,,1,6050,1,24-11-2025TC001-AL-22294,SI,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,SNEAD,BLOUNT,35952,4200,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,6051,1,24-11-2025TC001-AL-22295,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,SUSAN MOORE,BLOUNT,35031,5003,US,AL,,SUSAN MOORE,BLOUNT,35031,5003,,1,6052,1,24-11-2025TC001-AL-22296,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
